datetime,hour,day_of_week,day,month,is_weekend,temperature,humidity,weather,promo,holiday,store_id,customers,sales
2025-06-01 00:00:00,0,6,1,6,1,25.993428306022466,82.89059028781092,sunny,0,0,D,44.96091009941828,344.57507089377214
2025-06-01 01:00:00,1,6,1,6,1,26.028733319858144,79.79892134868325,sunny,1,0,B,70.78332862496707,470.6942057599263
2025-06-01 02:00:00,2,6,1,6,1,28.88356752722659,78.8346603568205,sunny,0,0,A,70.24510879582166,491.6893250075139
2025-06-01 03:00:00,3,6,1,6,1,31.87289403646695,71.58049535754995,sunny,0,0,A,73.63650077056991,500.3297902455209
2025-06-01 04:00:00,4,6,1,6,1,29.531693250553328,68.54417691562496,rainy,0,0,A,57.39730105565537,450.3710533533769
2025-06-01 05:00:00,5,6,1,6,1,30.619340376188845,76.67680289555729,rainy,0,1,D,67.02546956559439,555.8992851969832
2025-06-01 06:00:00,6,6,1,6,1,35.229493442880255,74.98683568044719,sunny,0,0,A,56.56586496263084,428.4439033020034
2025-06-01 07:00:00,7,6,1,6,1,34.46840286121817,76.49477481388571,sunny,0,0,B,77.59734899753144,518.1094230594767
2025-06-01 08:00:00,8,6,1,6,1,32.72130526597448,64.48009687015386,sunny,1,0,D,101.42683759244716,637.9508265576399
2025-06-01 09:00:00,9,6,1,6,1,35.3239154122848,64.59250820867462,sunny,1,0,C,92.31839563292813,633.2950948856419
2025-06-01 10:00:00,10,6,1,6,1,33.732422877265755,55.68486486391064,sunny,1,0,D,89.66092756511898,606.4035039602248
2025-06-01 11:00:00,11,6,1,6,1,33.982989106597586,59.99553735299641,cloudy,1,0,D,100.8810476102205,668.1417572881892
2025-06-01 12:00:00,12,6,1,6,1,35.48392454313207,64.98285255289724,sunny,0,0,D,89.33967225090532,615.0251400524804
2025-06-01 13:00:00,13,6,1,6,1,31.087888124422506,55.70963022055824,sunny,0,0,B,89.64915065479695,561.6762306211841
2025-06-01 14:00:00,14,6,1,6,1,31.209422597864616,59.32011329946631,sunny,1,0,C,108.42972099468763,672.6806215107684
2025-06-01 15:00:00,15,6,1,6,1,33.11422026663092,53.30723298453459,sunny,0,0,C,93.60948119624503,596.9980477183976
2025-06-01 16:00:00,16,6,1,6,1,31.634591797175542,54.1202851411078,rainy,0,1,D,105.96763942581124,727.4780222775236
2025-06-01 17:00:00,17,6,1,6,1,33.5620280681029,45.130121615790856,sunny,0,0,D,106.88981956132102,682.3504482283118
2025-06-01 18:00:00,18,6,1,6,1,30.255019660823052,49.81944553037129,sunny,0,0,D,96.1351748228468,593.1987997124418
2025-06-01 19:00:00,19,6,1,6,1,28.263006887416626,33.14402004112786,rainy,1,0,B,113.91527517473125,737.1587382064926
2025-06-01 20:00:00,20,6,1,6,1,32.93129753784311,46.0751381524235,sunny,0,0,B,107.96500466378751,651.3751718021099
2025-06-01 21:00:00,21,6,1,6,1,28.37528172267783,37.989440793755,cloudy,0,0,A,118.89469699284143,708.8847418231202
2025-06-01 22:00:00,22,6,1,6,1,27.72324686040106,51.54108518839806,rainy,1,0,C,132.18445931112652,804.7356949459308
